iShares Russell 2000 ETF
Fund Holdings as of,"Apr 10, 2026"
Inception Date,"May 22, 2000"
Shares Outstanding,"280,200,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"SR","SPIRE INC","Utilities","Equity","130,532,542.14","0.18","130,532,542.14","1,383,053.00","94.38","United States","NYSE","USD","1.00","USD","-"
"CWST","CASELLA WASTE SYSTEMS INC CLASS A","Industrials","Equity","128,699,000.22","0.18","128,699,000.22","1,479,639.00","86.98","United States","NASDAQ","USD","1.00","USD","-"
"ACA","ARCOSA INC","Industrials","Equity","128,166,462.00","0.17","128,166,462.00","1,148,445.00","111.60","United States","NYSE","USD","1.00","USD","-"
"MGY","MAGNOLIA OIL GAS CORP CLASS A","Energy","Equity","127,876,768.50","0.17","127,876,768.50","4,276,815.00","29.90","United States","NYSE","USD","1.00","USD","-"
"ALKS","ALKERMES","Health Care","Equity","127,846,695.60","0.17","127,846,695.60","3,832,335.00","33.36","United States","NASDAQ","USD","1.00","USD","-"
"OGS","ONE GAS INC","Utilities","Equity","127,830,960.00","0.17","127,830,960.00","1,420,344.00","90.00","United States","NYSE","USD","1.00","USD","-"
"PTCT","PTC THERAPEUTICS INC","Health Care","Equity","127,628,904.98","0.17","127,628,904.98","1,858,042.00","68.69","United States","NASDAQ","USD","1.00","USD","-"
"CNX","CNX RESOURCES CORP","Energy","Equity","127,608,228.96","0.17","127,608,228.96","3,248,682.00","39.28","United States","NYSE","USD","1.00","USD","-"
"ABCB","AMERIS BANCORP","Financials","Equity","127,475,304.12","0.17","127,475,304.12","1,538,442.00","82.86","United States","NYSE","USD","1.00","USD","-"
"CIFR","CIPHER DIGITAL INC","Information Technology","Equity","126,879,684.66","0.17","126,879,684.66","7,675,722.00","16.53","United States","NASDAQ","USD","1.00","USD","-"
"AUB","ATLANTIC UNION BANKSHARES CORP","Financials","Equity","126,234,157.93","0.17","126,234,157.93","3,319,331.00","38.03","United States","NYSE","USD","1.00","USD","-"
"CORZ","CORE SCIENTIFIC INC","Information Technology","Equity","125,900,096.32","0.17","125,900,096.32","6,872,276.00","18.32","United States","NASDAQ","USD","1.00","USD","-"
"MATX","MATSON INC","Industrials","Equity","125,050,735.26","0.17","125,050,735.26","730,138.00","171.27","United States","NYSE","USD","1.00","USD","-"
"HOMB","HOME BANCSHARES INC","Financials","Equity","125,042,414.04","0.17","125,042,414.04","4,467,396.00","27.99","United States","NYSE","USD","1.00","USD","-"
"LNTH","LANTHEUS HOLDINGS INC","Health Care","Equity","124,452,316.35","0.17","124,452,316.35","1,544,265.00","80.59","United States","NASDAQ","USD","1.00","USD","-"
"MUR","MURPHY OIL CORP","Energy","Equity","124,158,062.25","0.17","124,158,062.25","3,200,775.00","38.79","United States","NYSE","USD","1.00","USD","-"
"QBTS","D WAVE QUANTUM INC","Information Technology","Equity","123,017,813.25","0.17","123,017,813.25","8,632,829.00","14.25","United States","NYSE","USD","1.00","USD","-"
"COGT","COGENT BIOSCIENCES INC","Health Care","Equity","122,853,241.01","0.17","122,853,241.01","3,377,873.00","36.37","United States","NASDAQ","USD","1.00","USD","-"
"ATMU","ATMUS FILTRATION TECHNOLOGIES INC","Industrials","Equity","122,729,912.80","0.17","122,729,912.80","1,941,929.00","63.20","United States","NYSE","USD","1.00","USD","-"
"GLNG","GOLAR LNG LTD","Energy","Equity","122,558,438.88","0.17","122,558,438.88","2,300,271.00","53.28","Norway","NASDAQ","USD","1.00","USD","-"
"NUVL","NUVALENT INC CLASS A","Health Care","Equity","121,447,926.60","0.17","121,447,926.60","1,182,090.00","102.74","United States","NASDAQ","USD","1.00","USD","-"
"SBRA","SABRA HEALTH CARE REIT INC","Real Estate","Equity","120,189,303.30","0.16","120,189,303.30","5,874,355.00","20.46","United States","NASDAQ","USD","1.00","USD","-"
"AX","AXOS FINANCIAL INC","Financials","Equity","120,165,270.00","0.16","120,165,270.00","1,299,084.00","92.50","United States","NYSE","USD","1.00","USD","-"
"KGS","KODIAK GAS SERVICES INC","Energy","Equity","119,774,996.12","0.16","119,774,996.12","1,970,956.00","60.77","United States","NYSE","USD","1.00","USD","-"
"BIPC","BROOKFIELD INFRASTRUCTURE CORP CLA","Utilities","Equity","119,615,854.82","0.16","119,615,854.82","2,846,641.00","42.02","Canada","NYSE","USD","1.00","USD","-"
"BDC","BELDEN INC","Information Technology","Equity","119,095,536.63","0.16","119,095,536.63","925,589.00","128.67","United States","NYSE","USD","1.00","USD","-"
"XENE","XENON PHARMACEUTICALS INC","Health Care","Equity","119,061,248.00","0.16","119,061,248.00","2,038,720.00","58.40","United States","NASDAQ","USD","1.00","USD","-"
"TERN","TERNS PHARMACEUTICALS INC","Health Care","Equity","119,011,534.81","0.16","119,011,534.81","2,261,287.00","52.63","United States","NASDAQ","USD","1.00","USD","-"
"MYRG","MYR GROUP INC","Industrials","Equity","116,370,814.22","0.16","116,370,814.22","365,647.00","318.26","United States","NASDAQ","USD","1.00","USD","-"
"TGTX","TG THERAPEUTICS INC","Health Care","Equity","115,635,985.59","0.16","115,635,985.59","3,428,283.00","33.73","United States","NASDAQ","USD","1.00","USD","-"
"PECO","PHILLIPS EDISON AND COMPANY INC","Real Estate","Equity","115,575,172.23","0.16","115,575,172.23","3,001,173.00","38.51","United States","NASDAQ","USD","1.00","USD","-"
"CRC","CALIFORNIA RESOURCES CORP","Energy","Equity","115,473,700.10","0.16","115,473,700.10","1,735,142.00","66.55","United States","NYSE","USD","1.00","USD","-"
"JOBY","JOBY AVIATION INC CLASS A","Industrials","Equity","115,308,948.42","0.16","115,308,948.42","13,826,013.00","8.34","United States","NYSE","USD","1.00","USD","-"
"KYMR","KYMERA THERAPEUTICS INC","Health Care","Equity","115,122,574.35","0.16","115,122,574.35","1,353,587.00","85.05","United States","NASDAQ","USD","1.00","USD","-"
"HASI","HA SUSTAINABLE INFRASTRUCTURE CAPI","Financials","Equity","114,957,614.80","0.16","114,957,614.80","2,953,690.00","38.92","United States","NYSE","USD","1.00","USD","-"
"REZI","RESIDEO TECHNOLOGIES INC","Industrials","Equity","114,950,118.60","0.16","114,950,118.60","3,053,124.00","37.65","United States","NYSE","USD","1.00","USD","-"
"SIGI","SELECTIVE INSURANCE GROUP INC","Financials","Equity","114,378,951.40","0.16","114,378,951.40","1,430,810.00","79.94","United States","NASDAQ","USD","1.00","USD","-"
"IESC","IES INC","Industrials","Equity","113,871,605.27","0.16","113,871,605.27","213,729.00","532.78","United States","NASDAQ","USD","1.00","USD","-"
"KNF","KNIFE RIVER CORP","Materials","Equity","113,551,021.98","0.16","113,551,021.98","1,350,833.00","84.06","United States","NYSE","USD","1.00","USD","-"
"RGTI","RIGETTI COMPUTING INC","Information Technology","Equity","113,254,658.60","0.15","113,254,658.60","7,714,895.00","14.68","United States","NASDAQ","USD","1.00","USD","-"
"BOOT","BOOT BARN HOLDINGS INC","Consumer Discretionary","Equity","112,705,924.80","0.15","112,705,924.80","726,432.00","155.15","United States","NYSE","USD","1.00","USD","-"
"AIR","AAR CORP","Industrials","Equity","112,120,331.94","0.15","112,120,331.94","927,918.00","120.83","United States","NYSE","USD","1.00","USD","-"
"CRSP","CRISPR THERAPEUTICS AG","Health Care","Equity","110,367,729.16","0.15","110,367,729.16","2,154,778.00","51.22","United States","NASDAQ","USD","1.00","USD","-"
"ASB","ASSOCIATED BANCORP","Financials","Equity","110,216,234.40","0.15","110,216,234.40","4,010,780.00","27.48","United States","NYSE","USD","1.00","USD","-"
